?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1063662>	"Malcolm Barclay-Harvey"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q6410461>	"Kincardine and Western Aberdeenshire"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1939-03-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q11327314>	"Herbert Wragg"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q4884651>	"Belper"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1945-06-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1170763>	"John Graham Kerr"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q5150880>	"Combined Scottish Universities"@en	<http://www.wikidata.org/entity/Q7886824>	"Unionist Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1945-06-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11722962>	"Ness Edwards"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q3238808>	"Caerphilly"@en	<http://www.wikidata.org/entity/Q9630>	"Labour Party"@en	"1939-07-04T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7864918>	"UK Parliamentary by-election"@en	"1945-06-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11799507>	"Osbert Peake, 1st Viscount Ingleby"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q6516050>	"Leeds North"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1945-06-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11802791>	"Hugh Seely, 1st Baron Sherwood"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q1072626>	"Berwick-upon-Tweed"@en	<http://www.wikidata.org/entity/Q622441>	"Liberal Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1941-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q11998073>	"Robert Bourne"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q7115222>	"Oxford"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1938-08-07T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q5247364>	"death in office"@en
<http://www.wikidata.org/entity/Q122522>	"Leslie Hore-Belisha"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q4164454>	"Plymouth Devonport"@en	<http://www.wikidata.org/entity/Q1354368>	"National Liberal Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1945-06-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q12356771>	"Will Thorne"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q7200802>	"Plaistow"@en	<http://www.wikidata.org/entity/Q9630>	"Labour Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1945-06-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1241043>	"Robert Horne, 1st Viscount Horne of Slamannan"@en	<http://www.wikidata.org/entity/Q21084454>	"37th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q745443>	"Glasgow Hillhead"@en	<http://www.wikidata.org/entity/Q7886824>	"Unionist Party"@en	"1935-11-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918378>	"1935 United Kingdom general election"@en	"1937-05-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
