?item	?born	?died
<http://www.wikidata.org/entity/Q1025409>	"1927-07-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2011-10-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1026930>	"1842-10-27T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1922-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q10288965>	"1818-03-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1880-06-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q10305069>	"1926-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1985-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q10305110>	"1769-12-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1844-04-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q10363172>	"1742-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1829-02-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1052366>	"1924-12-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2007-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q10523755>	"1946-03-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1982-07-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1063662>	"1890-03-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-11-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1063686>	"1899-08-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1958-03-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1063964>	"1860-07-29T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1940-09-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1064724>	"1767-05-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1849-09-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q106618>	"1836-09-07T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1908-04-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1066568>	"1783-02-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1855-12-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q10844155>	"1902-07-29T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1990-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1086853>	"1917-05-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-02-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1096999>	"1920-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-09-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1101328>	"1837-02-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1912-09-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1103940>	"1898-06-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1971-12-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11283925>	"1834-10-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1887-05-27T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11309157>	"1814-07-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1879-08-07T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11327314>	"1880-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1956-02-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1141134>	"1813-09-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1879-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1145241>	"1765-09-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1840-02-07T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1147508>	"1836-07-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1907-11-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1149445>	"1800-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1857-02-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1160939>	"1904-03-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1984-09-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11682348>	"1917-03-27T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-02-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1170763>	"1869-09-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1957-04-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11708915>	"1828-10-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1911-08-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11722946>	"1921-10-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11722962>	"1897-04-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1968-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11722970>	"1933-10-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2008-01-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11723013>	"1911-12-04T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1979-04-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11727985>	"1860-07-07T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1925-01-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11762579>	"1849-12-07T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1932-10-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11771724>	"1788-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1867-10-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q1179483>	"1860-12-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1926-01-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11799507>	"1897-12-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1966-10-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11800391>	"1870-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1951-10-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11800502>	"1824-07-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1906-01-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11800672>	"1850-02-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1926-07-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11800706>	"1783-03-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1852-03-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11800745>	"1764-05-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1845-12-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11800794>	"1840-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1910-04-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11800905>	"1825-04-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1901-04-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11800932>	"1790-04-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1862-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801163>	"1881-08-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1972-12-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801410>	"1797-11-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1861-04-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801484>	"1799-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1870-10-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801578>	"1884-03-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1951-06-07T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801634>	"1781-11-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1844-09-04T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801645>	"1750-11-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1820-03-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801663>	"1799-05-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1873-01-04T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801688>	"1780-06-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1845-07-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801709>	"1765-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1845-07-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801875>	"1778-08-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1855-03-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801938>	"1807-11-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1896-04-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11801978>	"1758-05-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1819-09-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11802127>	"1862-09-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1920-02-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://www.wikidata.org/entity/Q11802131>	"1839-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1905-08-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
