mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q8010695>	William Hacket Pain	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7567857>	South Londonderry	<https://www.wikidata.org/wiki/Q841045>	Ulster Unionist Party	1922-01-18	<http://www.wikidata.org/entity/Q15616263>	1922 South Londonderry by-election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1235523>	Watson Cheyne	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5150880>	Combined Scottish Universities	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1241043>	Robert Horne, 1st Viscount Horne of Slamannan	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q745443>	Glasgow Hillhead	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529910>	Ralph Glyn, 1st Baron Glyn	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5124897>	Clackmannan and Eastern Stirlingshire	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1508664>	George Younger, 1st Viscount Younger of Leckie	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q4831620>	Ayr Burghs	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q16027108>	Sir William Raeburn, 1st Baronet	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5314176>	Dunbartonshire	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q166663>	Bonar Law	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q42114937>	Glasgow Central	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q19518075>	John Gordon Jameson	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q1070045>	Edinburgh West	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q299938>	Halford Mackinder	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5566762>	Glasgow Camlachie	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q321720>	Aylmer Hunter-Weston	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5002484>	Bute and Northern Ayrshire	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
