mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q1103940>	Terence Donovan, Baron Donovan	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q42968204>	Leicester East	<http://www.wikidata.org/entity/Q9630>	Labour Party	1945-07-05	<http://www.wikidata.org/entity/Q918397>	1945 United Kingdom general election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1160939>	Daniel Granville West, Baron Granville-West	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7228406>	Pontypool	<http://www.wikidata.org/entity/Q9630>	Labour Party	1946-07-23	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1170763>	John Graham Kerr	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5150880>	Combined Scottish Universities	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1945-07-05	<http://www.wikidata.org/entity/Q918397>	1945 United Kingdom general election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11722962>	Ness Edwards	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q3238808>	Caerphilly	<http://www.wikidata.org/entity/Q9630>	Labour Party	1945-07-05	<http://www.wikidata.org/entity/Q918397>	1945 United Kingdom general election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11799507>	Osbert Peake, 1st Viscount Ingleby	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6516050>	Leeds North	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1945-07-05	<http://www.wikidata.org/entity/Q918397>	1945 United Kingdom general election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12411364>	Richard Law, 1st Baron Coleraine	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6391484>	Kensington South	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1945-11-20	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1263302>	Sir Fitzroy MacLean, 1st Baronet	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6483099>	Lancaster	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1945-07-05	<http://www.wikidata.org/entity/Q918397>	1945 United Kingdom general election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1279583>	Tom Driberg	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189424>	Maldon	<http://www.wikidata.org/entity/Q9630>	Labour Party	1945-07-05	<http://www.wikidata.org/entity/Q918397>	1945 United Kingdom general election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q128956>	Harold Wilson	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7103487>	Ormskirk	<http://www.wikidata.org/entity/Q9630>	Labour Party	1945-07-05	<http://www.wikidata.org/entity/Q918397>	1945 United Kingdom general election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q128985>	Harold Macmillan	<http://www.wikidata.org/entity/Q21084455>	38th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4973674>	Bromley	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1945-11-14	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1950-02-03	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
