mbs_const,wikidata_const
the County of Dyfed,
the County of Powys,
the County of Cumbria,
the County of Gwynedd,
the County of Merseyside,
Limerick Borough,
Anglesey,
Teesside Stockton,Stockton-on-Tees
Cornwall Northern,North Cornwall
Cumberland Northern,North Cumberland
Dublin South,
the London Borough of Richmond,
Elgin District of Burghs,
the London Borough Camden,
Cork Borough,Mid Cork
the London Borough of Camden,
the County of Tyne and Wear,
the Republic of Ghana and of Ovington in the County of Hampshire,
Greater London,Cities of London and Westminster
the County of South Glamorgan,
the County of Mid-Glamorgan,
the County of Wiltshire and of Woodside Park in the London Borough of Barnet,
Southend-on-Sea,
the London Borough of Richmond upon Thames,
Scottish Borders,
Montrose District of Burghs,
Dublin North,
the London Borough of Islington,
the Scottish Borders,
the London Borough of Newham,
the London Borough of Hillingdon,
the London Borough of Merton,
Peebles and Southern,
Caernarvon District of Boroughs,
the County of West Glamorgan,
the County of West Midlands,
the Republic of Ghana and of Wembley in the London Borough of Brent,
the London Borough of Merton and of Grenoside in the County of South Yorkshire,
the London Borough of Haringey,
Norfolk Southern,
the London Borough of Hilllingdon,
Norfolk Northern,North Norfolk
Llanelly,Llanelli
Louth Borough,Louth and Horncastle
Waterford Borough,
Ayr District of Burghs,Ayr
Stepney Limehouse,Stepney
the County of Gloucestershire and of Wootton in the County of Staffordshire,
West Ham Plaistow,West Ham
County Carlow,Carlow Borough
the London Borough of Barnet,Barnet
the County and City of Bristol,Bristol
Lambeth Brixton,Lambeth
Teesside Middlesbrough,Middlesbrough
Southwark Dulwich,Dulwich
the City of London,City of London
Dorset Eastern,Dorset
Aberdeenshire and Kincardineshire Eastern,Kincardineshire
Wandsworth Balham and Tooting,Tooting
the County of Norfolk,Mid Norfolk
Camberwell Dulwich,Dulwich
Breconshire and Radnorshire,Radnorshire
Kingston upon Hull Haltemprice,Haltemprice
the County of South Yorkshire,
the Metropolitan Borough of Dudley,Dudley
the County of West Glamorgan and of Ceredigion in the County of Dyfed,Ceredigion
Waltham Forest Walthamstow,Walthamstow
Roxburghshire and Selkirkshire,Selkirkshire
Dunfermline District of Burghs,Dunfermline
Lambeth Vauxhall,Lambeth
the County of Durham,City of Durham
Southgate,Enfield Southgate
Kensington and Chelsea Kensington,Kensington
Wandsworth Putney,Putney
Orkney,Orkney and Shetland
Wandsworth Battersea North,Battersea North
Midlothian and Peeblesshire Northern,Peeblesshire
Staffordshire Western,Stafford
Redbridge Ilford South,Ilford South
the County of Clackmannanshire,
West Ham Upton,West Ham
the County of Sussex,Mid Sussex
Bermondsey Rotherhithe,Bermondsey
the County of North Yorkshire,North Ayrshire
Norfolk South Western,Norfolk North Western
the County of Lancashire,North East Lancashire
