By-election	Date	Incumbent	PartyOld	Winner	PartyNew	Cause
Guildford	25 August 1931	Henry Buckingham	Conservative	Charles Rhys	Conservative	Death
Liverpool Wavertree	23 June 1931	John Tinné	Conservative	Ronald Nall-Cain	Conservative	Resignation
Manchester Ardwick	22 June 1931	Thomas Lowth	Labour	Joseph Henderson	Labour	Death
Gateshead	8 June 1931	James Melville	Labour	Herbert Evans	Labour	Death
Rutherglen	21 May 1931	William Wright	Labour	David Hardie	Labour	Death
Stroud	21 May 1931	Sir Frank Nelson	Conservative	Walter Perkins	Conservative	Resignation
Ogmore	19 May 1931	Vernon Hartshorn	Labour	Edward Williams	Labour	Death
Glasgow St Rollox	7 May 1931	James Stewart	Labour	William Leonard	Labour	Death
Scarborough and Whitby	6 May 1931	Sidney Herbert	Conservative	Paul Latham	Conservative	Resignation
Ashton-under-Lyne	30 April 1931	Albert Bellamy	Labour	John Broadbent	Conservative	Death
Woolwich East	15 April 1931	Henry Snell	Labour	George Hicks	Labour	Elevation to the peerage
Sunderland	26 March 1931	Alfred Smith	Labour	Luke Thompson	Conservative	Death
Pontypridd	19 March 1931	Thomas Isaac Mardy Jones	Labour	David Lewis Davies	Labour	Resignation
Westminster St George's	19 March 1931	Laming Worthington-Evans	Conservative	Duff Cooper	Conservative	Death
Salisbury	11 March 1931	Hugh Morrison	Conservative	James Despencer-Robertson	Conservative	Resignation
Fermanagh and Tyrone	7 March 1931	Thomas Harbison	Nationalist	Cahir Healy	Nationalist	Death
Fareham	20 February 1931	John Davidson	Conservative	Thomas Inskip	Conservative	Resignation
Islington East	19 February 1931	Ethel Bentham	Labour	Leah Manning	Labour	Death
Liverpool East Toxteth	5 February 1931	Henry Mond	Conservative	Patrick Buchan-Hepburn	Conservative	Succession to the peerage
Bristol East	16 January 1931	Walter Baker	Labour	Stafford Cripps	Labour	Death
Whitechapel and St George's	3 December 1930	Harry Gosling	Labour	J. H. Hall	Labour	Death
East Renfrewshire	28 November 1930	Alexander Munro MacRobert	Conservative	Douglas Douglas-Hamilton	Conservative	Death
Shipley	6 November 1930	William Mackinder	Labour	James Lockwood	Conservative	Death
Paddington South	30 October 1930	Douglas King	Conservative	Ernest Taylor	Empire Free Trade Crusade	Death
Bromley	2 September 1930	Cuthbert James	Conservative	Edward Campbell	Conservative	Elevation to the peerage
North Norfolk	9 July 1930	Noel Buxton	Labour	Lucy Noel-Buxton	Labour	Death
Glasgow Shettleston	26 June 1930	John Wheatley	Labour	John McGovern	Labour	Death
Nottingham Central	27 May 1930	Albert Bennett	Conservative	Terence O'Connor	Conservative	Resignation
Fulham West	6 May 1930	Ernest Spero	Labour	Cyril Cobb	Conservative	Resignation
Sheffield Brightside	6 February 1930	Arthur Ponsonby	Labour	Fred Marshall	Labour	Elevated to the peerage
Liverpool Scotland	14 December 1929	T. P. O'Connor	Irish Parliamentary	David Logan	Labour	Death
Tamworth	2 December 1929	Edward Iliffe	Conservative	Arthur Steel-Maitland	Conservative	Resignation
Kilmarnock	27 September 1929	Robert Climie	Labour	Craigie Aitchison	Labour	Death
Twickenham	8 August 1929	William Joynson-Hicks	Conservative	John Ferguson	Conservative	Elevated to the peerage
Leeds South East	1 August 1929	Henry Slesser	Labour	James Milner	Labour	Resignation
Preston	31 July 1929	William Jowitt	Liberal	William Jowitt	Labour	Seeks re-election upon change of party allegiance
North Lanarkshire	21 March 1929	Alexander Sprot	Conservative	Jennie Lee	Labour	Death
Holland with Boston	21 March 1929	Arthur Dean	Conservative	James Blindell	Liberal	Death
Bath	21 March 1929	Charles Foxcroft	Conservative	Charles Baillie-Hamilton	Conservative	Death
Eddisbury	20 March 1929	Harry Barnston	Conservative	Richard John Russell	Liberal	Death
Liverpool East Toxteth	19 March 1929	Albert Edward Jacob	Conservative	Henry Mond	Conservative	Death
Wansbeck	13 February 1929	George Warne	Labour	George Shield	Labour	Death
Bishop Auckland	7 February 1929	Ben Spoor	Labour	Ruth Dalton	Labour	Death
Battersea South	7 February 1929	Francis Curzon	Conservative	William Bennett	Labour	Succession to the peerage
Londonderry	29 January 1929	Malcolm Macnaghten	UUP	Ronald Ross	UUP	Appointment as High Court judge
Midlothian and Peeblesshire Northern	29 January 1929	George Hutchison	Conservative	Andrew Clarke	Labour	Death
Ashton-under-Lyne	29 October 1928	Cornelius Homan	Conservative	Albert Bellamy	Labour	Declared bankrupt
Tavistock	11 October 1928	Philip Kenyon-Slaney	Conservative	Wallace Duffield Wright	Conservative	Death
Cheltenham	26 September 1928	James Agg-Gardner	Conservative	Walter Preston	Conservative	Death
Aberdeen North	16 August 1928	Frank Herbert Rose	Labour	William Wedgwood Benn	Labour	Death
Sheffield Hallam	16 July 1928	Frederick Sykes	Conservative	Louis Smith	Conservative	Appointed Governor of Bombay
Halifax	13 July 1928	John Henry Whitley	Speaker	Arthur Longbottom	Labour	Resignation (retired as Speaker)
Epsom	4 July 1928	George Blades	Conservative	Archibald Southby	Conservative	Elevation to the peerage
Carmarthen	28 June 1928	Alfred Mond	Liberal/Conservative	William Nathaniel Jones	Liberal	Elevation to the Hereditary Peerage
Holborn	28 June 1928	James Remnant	Conservative	Stuart Bevan	Conservative	Elevation to the peerage
St Marylebone	30 April 1928	Sir Douglas Hogg	Conservative	Rennell Rodd	Conservative	Hereditary Peerage on appointment as Lord High Chancellor of Great Britain
Hanley	23 April 1928	Samuel Clowes	Labour	Arthur Hollins	Labour	Death
Linlithgowshire	4 April 1928	James Kidd	Conservative	Manny Shinwell	Labour	Death
Middlesbrough West	7 March 1928	Trevelyan Thomson	Liberal	Frank Kingsley Griffith	Liberal	Death
St Ives	6 March 1928	Anthony Hawke	Conservative	Hilda Runciman	Liberal	Appointment as a High Court Judge
Ilford	23 February 1928	Fredric Wise	Conservative	George Hamilton	Conservative	Death
Lancaster	9 February 1928	Gerald Strickland	Conservative	Robert Parkinson Tomlinson	Liberal	Elevation to the Hereditary Peerage
