constituency	name	party
Aberavon	Rt Hon. Ramsay MacDonald	Labour
Aberdare	George Hall	Labour
Aberdeen North	Frank Rose	Labour
Aberdeen South	Frederick Thomson	Unionist
Aberdeenshire Central	Robert Smith	Unionist
Aberdeenshire East	Robert Boothby	Unionist
Aberdeenshire West and Kincardine	Malcolm Barclay-Harvey	Unionist
Abertillery	George Barker	Labour
Abingdon	Ralph Glyn	Unionist
Accrington	Hugh Edwards	Constitutionalist
Acton	Sir Harry Brittain	Unionist
Aldershot	Viscount Wolmer	Unionist
Altrincham	Cyril Atkinson	Unionist
Anglesey	Sir Robert Thomas, Bt	Liberal
Antrim 	Charles Craig	Ulster Unionist
Antrim 	Hon. Hugh O'Neill	Ulster Unionist
Argyll	F. A. Macquisten	Unionist
Armagh	Sir William Allen	Ulster Unionist
Ashford	Samuel Strang Steel	Unionist
Ashton-under-Lyne	Cornelius Homan	Unionist
Aylesbury	Sir Alan Burgoyne	Unionist
Ayr Burghs	The Rt Hon. Sir John Baird, Bt	Unionist
Ayrshire North and Bute	Sir Aylmer Hunter-Weston	Unionist
Ayrshire South	James Brown	Labour
Balham and Tooting	Sir Alfred Butt	Unionist
Banbury	Albert Edmondson	Unionist
Banff	William Templeton	Unionist
Barkston Ash	George Lane-Fox	Unionist
Barnard Castle	Cuthbert Headlam	Unionist
Barnsley	John Potts	Labour
Barnstaple	Basil Peto	Unionist
Barrow-in-Furness	John Bromley	Labour
Basingstoke	Sir Arthur Holbrook	Unionist
Bassetlaw	Sir William Hume-Williams	Unionist
Bath	Charles Foxcroft	Unionist
Batley and Morley	Walter Forrest	Liberal
Battersea North	Shapurji Saklatvala	Communist
Battersea South	Viscount Curzon	Unionist
Bedford	Richard Wells	Conservative
Bedfordshire Mid	William Warner	Unionist
Bedwellty	Charles Edwards	Labour
Belfast, East	Herbert Dixon	Ulster Unionist
Belfast, North	Thomas McConnell	Ulster Unionist
Belfast, South	Thomas Moles	Ulster Unionist
Belfast, West	Sir Robert Lynn	Ulster Unionist
Belper	Herbert Wragg	Unionist
Bermondsey West	Alfred Salter	Labour
Berwick-on-Tweed	Mabel Philipson	Unionist
Berwick and Haddington	Chichester Crookshank	Unionist
Bethnal Green North-East	Walter Windsor	Labour
Bethnal Green South-West	Percy Harris	Liberal
Bewdley	The Rt Hon. Stanley Baldwin	Unionist
Birkenhead East	William Henry Stott	Unionist
Birkenhead West	Ellis Nuttall	Unionist
Birmingham Aston	The Rt Hon. Sir Evelyn Cecil	Unionist
Birmingham Deritend	Smedley Crooke	Unionist
Birmingham Duddeston	John Burman	Unionist
Birmingham Edgbaston	Sir Francis Lowe, Bt	Unionist
Birmingham Erdington	Sir Arthur Steel-Maitland, Bt	Unionist
Birmingham Handsworth	Oliver Locker-Lampson	Unionist
Birmingham King's Norton	Robert Dennison	Labour
Birmingham Ladywood	Rt Hon. Neville Chamberlain	Unionist
Birmingham Moseley	Patrick Hannon	Unionist
Birmingham Sparkbrook	Rt Hon. Leo Amery	Unionist
Birmingham West	Rt Hon. Austen Chamberlain	Unionist
Birmingham Yardley	Alfred Jephcott	Unionist
Bishop Auckland	Ben Spoor	Labour
Blackburn 	John Duckworth	Liberal
Blackburn 	Sir Sydney Henn	Unionist
Blackpool	Sir Walter de Frece	Unionist
Blaydon	William Whiteley	Labour
Bodmin	Gerald Harrison	Unionist
Bolton 	Sir Joseph Cunliffe	Unionist
Bolton 	Cecil Hilton	Unionist
Bootle	Vivian Henderson	Unionist
Bosworth	Robert Gee	Unionist
Bothwell	John Robertson	Labour
Bournemouth	Henry Page Croft	Unionist
Bow and Bromley	George Lansbury	Labour
Bradford Central	Anthony Gadie	Unionist
Bradford East	Thomas Fenby	Liberal
Bradford North	Eugene Ramsden	Unionist
Bradford South	William Hirst	Co-operative
Brecon and Radnor	Walter Hall	Unionist
Brentford and Chiswick	Walter Morden	Unionist
Bridgwater	Brooks Wood	Unionist
Brigg	Sir Berkeley Sheffield, Bt	Unionist
Brighton 	Rt Hon. George Tryon	Unionist
Brighton 	Sir Cooper Rawson	Unionist
Bristol Central	Sir Thomas Inskip	Unionist
Bristol East	Walter Baker	Labour
Bristol North	Rt Hon. Freddie Guest	Liberal
Bristol South	Sir Beddoe Rees	Liberal
Bristol West	Rt Hon. George Gibbs	Unionist
Brixton	Sir Davison Dalziel, Bt	Unionist
Bromley	Hon. Cuthbert James	Unionist
Broxtowe	George Spencer	Labour
Buckingham	George Bowyer	Unionist
Buckrose	Sir Guy Gaunt	Unionist
Burnley	Rt Hon. Arthur Henderson	Labour
Burslem	Andrew McLaren	Labour
Burton	John Gretton	Unionist
Bury	Charles Ainsworth	Unionist
Bury St Edmunds	Rt Hon. Walter Guinness	Unionist
Caerphilly	Morgan Jones	Labour
Caithness and Sutherland	Sir Archibald Sinclair, Bt	Liberal
Camberwell North	Charles Ammon	Labour
Camberwell North-West	Edward Campbell	Unionist
Camborne	Algernon Moreing	Constitutionalist
Cambridge	Sir George Newton	Unionist
Cambridgeshire	Richard Briscoe	Unionist
Cambridge University 	Rt Hon. John Rawlinson	Unionist
Cambridge University 	Sir Geoffrey G. Butler	Unionist
Cannock	William Adamson	Labour
Canterbury	Rt Hon. Ronald McNeill	Unionist
Cardiff Central	Lewis Lougher	Unionist
Cardiff East	Clement Kinloch-Cooke	Unionist
Cardiff South	Arthur Evans	Unionist
Cardiganshire	Rhys Hopkin Morris	Liberal
Carlisle	Rt Hon. William Watson	Unionist
Carmarthen	Rt Hon. Sir Alfred Mond, Bt	Liberal
Carnarvon	Rt Hon. David Lloyd George	Liberal
Carnarvonshire	Goronwy Owen	Liberal
Chatham	John Moore-Brabazon	Unionist
Chelmsford	Sir Henry Curtis-Bennett	Unionist
Chelsea	Rt Hon. Sir Samuel Hoare, Bt	Unionist
Cheltenham	Rt Hon. Sir James Agg-Gardner	Unionist
Chertsey	Philip Richardson	Unionist
Chester	Sir Charles Cayzer, Bt	Unionist
Chesterfield	Barnet Kenyon	Liberal
Chester-le-Street	Jack Lawson	Labour
Chichester	John Courtauld	Unionist
Chippenham	Victor Cazalet	Unionist
Chislehurst	Waldron Smithers	Unionist
Chorley	Douglas Hacking	Unionist
Cirencester and Tewkesbury	Sir Thomas Davies	Unionist
City of London 	Edward Grenfell	Unionist
City of London 	Sir Vansittart Bowater, Bt	Unionist
Clapham	Sir John Leigh	Unionist
Clay Cross	Charles Duncan	Labour
Cleveland	Park Goff	Unionist
Clitheroe	William Brass	Unionist
Coatbridge	James C. Welsh	Labour
Colchester	Rt Hon. Sir Laming Worthington-Evans, Bt	Unionist
Colne Valley	Rt Hon. Philip Snowden	Labour
Combined English Universities 	Sir Martin Conway	Unionist
Combined English Universities 	Rt Hon. H. A. L. Fisher	Liberal
Combined Scottish Universities 	Rt Hon. Sir Henry Craik	Unionist
Combined Scottish Universities 	Dugald Cowan	Liberal
Combined Scottish Universities 	George Berry	Unionist
Consett	Herbert Dunnico	Labour
Cornwall North	Alfred Williams	Unionist
Coventry	Sir Archibald Boyd-Carpenter	Unionist
Crewe	Ernest Craig	Unionist
Croydon North	Glyn Mason	Unionist
Croydon South	Sir William Mitchell-Thomson, Bt	Unionist
Cumberland North	Hon. Donald Howard	Unionist
Darlington	William Edwin Pease	Unionist
Dartford	Angus McDonnell	Unionist
Darwen	Sir Frank Sanderson, Bt	Unionist
Daventry	Rt Hon. Edward FitzRoy	Unionist
Denbigh	Ellis Davies	Liberal
Deptford	Rt Hon. C. W. Bowerman	Labour
Derby 	Rt Hon. J. H. Thomas	Labour
Derby 	Sir Richard Luce	Unionist
Derbyshire North-East	Frank Lee	Labour
Derbyshire South	James Augustus Grant	Unionist
Derbyshire West	Marquess of Hartington	Unionist
Devizes	Percy Hurd	Unionist
Dewsbury	Ben Riley	Labour
Doncaster	Wilfred Paling	Labour
Don Valley	Tom Williams	Labour
Dorset East	Gordon Hall Caine	Unionist
Dorset North	Cecil Hanbury	Unionist
Dorset South	Robert Yerburgh	Unionist
Dorset West	Philip Colfox	Unionist
Dover	Hon. John Astor	Unionist
Down 	David Reid	Ulster Unionist
Down 	John Simms	Ulster Unionist
Dudley	Cyril Lloyd	Unionist
Dulwich	Sir Frederick Hall, Bt	Unionist
Dumbarton Burghs	David Kirkwood	Labour
Dumfriesshire	John Charteris	Unionist
Dunbartonshire	David Fleming	Unionist
Dundee 	E. D. Morel	Labour
Dundee 	Edwin Scrymgeour	Scottish Prohibition
Dunfermline Burghs	William McLean Watson	Labour
Durham	Joshua Ritson	Labour
Ealing	Rt Hon. Sir Herbert Nield	Unionist
Eastbourne	Rt Hon. Sir George Lloyd	Unionist
East Grinstead	Sir Henry Cautley	Unionist
East Ham North	Charles Crook	Unionist
East Ham South	Alfred Barnes	Co-operative
Ebbw Vale	Evan Davies	Labour
Eccles	Albert Bethel	Unionist
Eddisbury	Sir Harry Barnston, Bt	Unionist
Edinburgh Central	William Graham	Labour
Edinburgh East	Drummond Shiels	Labour
Edinburgh North	Patrick Ford	Unionist
Edinburgh South	Sir Samuel Chapman	Unionist
Edinburgh West	Ian MacIntyre	Unionist
Edmonton	Frank Broad	Labour
Elland	William C. Robinson	Labour
Enfield	Reginald Applin	Unionist
Epping	Rt Hon. Winston Churchill	Constitutionalist
Epsom	Sir Rowland Blades, Bt	Unionist
Essex South East	Herbert Looker	Unionist
Evesham	Rt Hon. Bolton Eyres-Monsell	Unionist
Exeter	Sir Robert Newman, Bt	Unionist
Eye	Lord Huntingfield	Unionist
Fareham	Sir John Davidson	Unionist
Farnham	Arthur Samuel	Unionist
Farnworth	Thomas Greenall	Labour
Faversham	Granville Wheler	Unionist
Fermanagh and Tyrone 	Sir Charles Falls	Ulster Unionist
Fermanagh and Tyrone 	James Pringle	Ulster Unionist
Fife East	Hon. Archibald Cochrane	Unionist
Fife West	Rt Hon. William Adamson	Labour
Finchley	Hon. Edward Cadogan	Unionist
Finsbury	George Gillett	Labour
Flintshire	Ernest Roberts	Unionist
Forest of Dean	James Wignall	Labour
Forfarshire	Harry Hope	Unionist
Frome	Geoffrey Peto	Unionist
Fulham East	Kenyon Vaughan-Morgan	Unionist
Fulham West	Sir Cyril Cobb	Unionist
Fylde	Lord Stanley	Unionist
Gainsborough	Harry Crookshank	Unionist
Galloway	Sir Arthur Henniker-Hughan, Bt	Unionist
Gateshead	John Beckett	Labour
Gillingham	Sir Gerald Hohler	Unionist
Glasgow Bridgeton	James Maxton	Labour
Glasgow Camlachie	Campbell Stephen	Labour
Glasgow Cathcart	Robert Macdonald	Unionist
Glasgow Central	Sir William Alexander	Unionist
Glasgow Gorbals	George Buchanan	Labour
Glasgow Govan	Neil Maclean	Labour
Glasgow Hillhead	Rt Hon. Sir Robert Horne	Unionist
Glasgow Kelvingrove	Walter Elliot	Unionist
Glasgow Maryhill	James Couper	Unionist
Glasgow Partick	Humphrey Broun-Lindsay	Unionist
Glasgow Pollok	Rt Hon. Sir John Gilmour, Bt	Unionist
Glasgow St. Rollox	James Stewart	Labour
Glasgow Shettleston	Rt Hon. John Wheatley	Labour
Glasgow Springburn	George Hardie	Labour
Glasgow Tradeston	Thomas Henderson	Co-operative
Gloucester	James Horlick	Unionist
Gower	David Grenfell	Labour
Grantham	Sir Victor Warrender, Bt	Unionist
Gravesend	Irving Albery	Unionist
Great Yarmouth	Sir Frank Meyer, Bt	Unionist
Greenock	Sir Godfrey Collins	Liberal
Greenwich	Sir George Hume	Unionist
Grimsby	Walter Womersley	Unionist
Guildford	Sir Henry Buckingham	Unionist
Hackney Central	Sir Robert Gower	Unionist
Hackney North	Austin Hudson	Unionist
Hackney South	George Garro-Jones	Liberal
Halifax	Rt Hon. John Henry Whitley	Liberal
Hamilton	Duncan Graham	Labour
Hammersmith North	Ellis Ashmead-Bartlett	Unionist
Hammersmith South	Rt Hon. Sir William Bull, Bt	Unionist
Hampstead	George Balfour	Unionist
Hanley	Samuel Clowes	Labour
Harborough	Lewis Winby	Unionist
Harrow	Isidore Salmon	Unionist
The Hartlepools	Sir Wilfrid Sugden	Unionist
Harwich	Sir Frederick Rice	Unionist
Hastings	Lord Eustace Percy	Unionist
Hemel Hempstead	John Davidson	Unionist
Hemsworth	John Guest	Labour
Hendon	Rt Hon. Sir Philip Lloyd-Greame	Unionist
Henley	Robert Henderson	Unionist
Hereford	Rt Hon. Samuel Roberts	Unionist
Hertford	Murray Sueter	Unionist
Hexham	Douglas Clifton Brown	Unionist
Heywood and Radcliffe	Abraham England	Constitutionalist
High Peak	Sir Samuel Hill-Wood, Bt	Unionist
Hitchin	Guy Kindersley	Unionist
Holborn	Sir James Remnant, Bt	Unionist
Holderness	Samuel Savery	Unionist
Holland-with-Boston	Arthur Dean	Unionist
Honiton	Sir Clive Morrison-Bell, Bt	Unionist
Horncastle	Henry Haslam	Unionist
Hornsey	Euan Wallace	Unionist
Horsham and Worthing	Earl Winterton PC	Unionist
Houghton-le-Spring	Robert Richardson	Labour
Howdenshire	Hon. Stanley Jackson	Unionist
Huddersfield	James Hudson	Labour
Huntingdonshire	Charles Murchison	Unionist
Hythe	Sir Philip Sassoon, Bt	Unionist
Ilford	Sir Fredric Wise	Unionist
Ilkeston	George Oliver	Labour
Ince	Rt Hon. Stephen Walsh	Labour
Inverness-shire	Sir Murdoch Macdonald	Liberal
Ipswich	John Ganzoni	Unionist
