constituency	name	party
Aberavon	John Morris	Labour
Aberdeen North	Robert Hughes	Labour
Aberdeen South	Raymond Robertson	Conservative
Aldershot	Sir Julian Critchley	Conservative
Aldridge-Brownhills	Richard Shepherd	Conservative
Altrincham and Sale	Sir Fergus Montgomery	Conservative
Alyn and Deeside	Barry Jones	Labour
Amber Valley	Hon. Phillip Oppenheim	Conservative
Angus East	Andrew Welsh	Scottish National Party
Antrim East	Roy Beggs	Ulster Unionist
Antrim North	Rev Ian Paisley	Democratic Unionist
Antrim South	Clifford Forsythe	Ulster Unionist
Argyll and Bute	Hon. Ray Michie	Liberal Democrat
Arundel	Sir Michael Marshall	Conservative
Ashfield	Geoff Hoon	Labour
Ashford	Keith Speed	Conservative
Ashton-under-Lyne	Robert Sheldon	Labour
Aylesbury	David Lidington	Conservative
Ayr	Phil Gallie	Conservative
Banbury	Tony Baldry	Conservative
Banff and Buchan	Alex Salmond	Scottish National Party
Barking	Jo Richardson	Labour
Barnsley Central	Eric Illsley	Labour
Barnsley East	Terry Patchett	Labour
Barnsley West and Penistone	Michael Clapham	Labour
Barrow and Furness	John Hutton	Labour
Basildon	David Amess	Conservative
Basingstoke	Andrew Hunter	Conservative
Bassetlaw	Joe Ashton	Labour
Bath	Don Foster	Liberal Democrat
Batley and Spen	Elizabeth Peacock	Conservative
Battersea	John Bowis	Conservative
Beaconsfield	Tim Smith	Conservative
Beckenham	Piers Merchant	Conservative
Bedfordshire Mid	Sir Nicholas Lyell	Conservative
Bedfordshire North	Sir Trevor Skeet	Conservative
Bedfordshire South West	Sir David Madel	Conservative
Belfast East	Peter Robinson	Democratic Unionist
Belfast North	Cecil Walker	Ulster Unionist
Belfast South	Martin Smyth	Ulster Unionist
Belfast West	Dr Joe Hendron	Social Democratic and Labour
Berkshire East	Andrew MacKay	Conservative
Berwick-upon-Tweed	Alan Beith	Liberal Democrat
Bethnal Green and Stepney	Peter Shore	Labour
Beverley	James Cran	Conservative
Bexhill and Battle	Charles Wardle	Conservative
Bexleyheath	Cyril Townsend	Conservative
Billericay	Teresa Gorman	Conservative
Birkenhead	Frank Field	Labour
Birmingham Edgbaston	Dame Jill Knight	Conservative
Birmingham Erdington	Robin Corbett	Labour
Birmingham Hall Green	Andrew Hargreaves	Conservative
Birmingham, Hodge Hill	Terry Davis	Labour
Birmingham Ladywood	Clare Short	Labour
Birmingham Northfield	Richard Burden	Labour
Birmingham Perry Barr	Jeff Rooker	Labour
Birmingham Selly Oak	Lynne Jones	Labour
Birmingham Small Heath	Roger Godsiff	Labour
Birmingham Sparkbrook	Roy Hattersley	Labour
Birmingham Yardley	Estelle Morris	Labour
Bishop Auckland	Derek Foster	Labour
Blaby	Andrew Robathan	Conservative
Blackburn	Jack Straw	Labour
Blackpool North	Harold Elletson	Conservative
Blackpool South	Nick Hawkins	Conservative
Blaenau Gwent	Llew Smith	Labour
Blaydon	John McWilliam	Labour
Blyth Valley	Ronnie Campbell	Labour
Bolsover	Dennis Skinner	Labour
Bolton North East	Peter Thurnham	Conservative
Bolton South East	David Young	Labour
Bolton West	Hon. Tom Sackville	Conservative
Boothferry	David Davis	Conservative
Bootle	Joe Benton	Labour
Bosworth	David Tredinnick	Conservative
Bournemouth East	David Atkinson	Conservative
Bournemouth West	John Butterfill	Conservative
Bow and Poplar	Mildred Gordon	Labour
Bradford North	Terry Rooney	Labour
Bradford South	Bob Cryer	Labour
Bradford West	Max Madden	Labour
Braintree	Tony Newton	Conservative
Brecon and Radnor	Jonathan Evans	Conservative
Brent East	Ken Livingstone	Labour
Brent North	Sir Rhodes Boyson	Conservative
Brent South	Paul Boateng	Labour
Brentford and Isleworth	Nirj Deva	Conservative
Brentwood and Ongar	Eric Pickles	Conservative
Bridgend	Win Griffiths	Labour
Bridgwater	Tom King	Conservative
Bridlington	John Townend	Conservative
Brigg and Cleethorpes	Michael Brown	Conservative
Brighton Kemptown	Andrew Bowden	Conservative
Brighton Pavilion	Sir Derek Spencer	Conservative
Bristol East	Jean Corston	Labour
Bristol North West	Michael Stern	Conservative
Bristol South	Dawn Primarolo	Labour
Bristol West	Hon. William Waldegrave	Conservative
Bromsgrove	Roy Thomason	Conservative
Broxbourne	Marion Roe	Conservative
Broxtowe	Jim Lester	Conservative
Buckingham	George Walden	Conservative
Burnley	Peter Pike	Labour
Burton	Ivan Lawrence	Conservative
Bury North	Alistair Burt	Conservative
Bury South	David Sumberg	Conservative
Bury St. Edmunds	Richard Spring	Conservative
Caernarfon	Dafydd Wigley	Plaid Cymru
Caerphilly	Ron Davies	Labour
Caithness and Sutherland	Robert Maclennan	Liberal Democrat
Calder Valley	Sir Donald Thompson	Conservative
Cambridge	Anne Campbell	Labour
Cambridgeshire North East	Malcolm Moss	Conservative
Cambridgeshire South East	James Paice	Conservative
Cambridgeshire South West	Sir Anthony Grant	Conservative
Cannock and Burntwood	Tony Wright	Labour
Canterbury	Julian Brazier	Conservative
Cardiff Central	Jon Owen Jones	Labour
Cardiff North	Gwilym Jones	Conservative
Cardiff South and Penarth	Alun Michael	Labour
Cardiff West	Rhodri Morgan	Labour
Carlisle	Eric Martlew	Labour
Carmarthen	Alan W. Williams	Labour
Carrick, Cumnock and Doon Valley	George Foulkes	Labour
Carshalton and Wallington	Nigel Forman	Conservative
Castle Point	Dr Bob Spink	Conservative
Ceredigion and Pembroke North	Cynog Dafis	Plaid Cymru/Green
Cheadle	Stephen Day	Conservative
Chelmsford	Simon Burns	Conservative
Chelsea	Sir Nicholas Scott	Conservative
Cheltenham	Nigel Jones	Liberal Democrat
Chertsey and Walton	Sir Geoffrey Pattie	Conservative
Chesham & Amersham	Cheryl Gillan	Conservative
Chester	Gyles Brandreth	Conservative
Chesterfield	Tony Benn	Labour
Chichester	Anthony Nelson	Conservative
Chingford	Iain Duncan Smith	Conservative
Chipping Barnet	Sydney Chapman	Conservative
Chislehurst	Roger Sims	Conservative
Chorley	Den Dover	Conservative
Christchurch	Robert Adley	Conservative
Cirencester and Tewkesbury	Geoffrey Clifton-Brown	Conservative
City of London and Westminster South	Hon. Peter Brooke	Conservative
Clackmannan	Martin O'Neill	Labour
Clwyd North West	Rod Richards	Conservative
Clwyd South West	Martyn Jones	Labour
Clydebank & Milngavie	Tony Worthington	Labour
Clydesdale	Jimmy Hood	Labour
Colchester North	Hon. Bernard Jenkin	Conservative
Colchester South and Maldon	John Whittingdale	Conservative
Colne Valley	Graham Riddick	Conservative
Congleton	Ann Winterton	Conservative
Conwy	Sir Wyn Roberts	Conservative
Copeland	Dr Jack Cunningham	Labour
Corby	William Powell	Conservative
Cornwall North	Paul Tyler	Liberal Democrat
Cornwall South East	Robert Hicks	Conservative
Coventry North East	Bob Ainsworth	Labour
Coventry North West	Geoffrey Robinson	Labour
Coventry South East	Jim Cunningham	Labour
Coventry South West	John Butcher	Conservative
Crawley	Hon. Nicholas Soames	Conservative
